Authors,Author(s) ID,Title,Year,Source title,Cited by,Link,Affiliations,Authors with affiliations,Document Type,Source,EID
"Biederman J., DiSalvo M., Woodworth K.Y., Fried R., Uchida M., Biederman I., Spencer T.J., Surman C., Faraone S.V.","36013380100;57206204618;47161647000;9942576200;55614930600;57202209540;57203046862;8912822400;36047714700;","Toward operationalizing deficient emotional self-regulation in newly referred adults with ADHD: A receiver operator characteristic curve analysis",2020,"European psychiatry : the journal of the Association of European Psychiatrists",13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083954840&doi=10.1192%2fj.eurpsy.2019.11&partnerID=40&md5=75af548e81e79ea9eb10d224d0866610","Clinical and Research Programs in Pediatric Psychopharmacology and Adult ADHD, Massachusetts General Hospital, Boston, MA, United States; Department of Psychiatry, Harvard Medical School, Boston, MA, United States; Department of Neuroscience and Physiology, SUNY Upstate Medical University, Syracuse, NY, United States","Biederman, J., Clinical and Research Programs in Pediatric Psychopharmacology and Adult ADHD, Massachusetts General Hospital, Boston, MA, United States, Department of Psychiatry, Harvard Medical School, Boston, MA, United States; DiSalvo, M., Clinical and Research Programs in Pediatric Psychopharmacology and Adult ADHD, Massachusetts General Hospital, Boston, MA, United States; Woodworth, K.Y., Clinical and Research Programs in Pediatric Psychopharmacology and Adult ADHD, Massachusetts General Hospital, Boston, MA, United States; Fried, R., Clinical and Research Programs in Pediatric Psychopharmacology and Adult ADHD, Massachusetts General Hospital, Boston, MA, United States, Department of Psychiatry, Harvard Medical School, Boston, MA, United States; Uchida, M., Clinical and Research Programs in Pediatric Psychopharmacology and Adult ADHD, Massachusetts General Hospital, Boston, MA, United States, Department of Psychiatry, Harvard Medical School, Boston, MA, United States; Biederman, I., Clinical and Research Programs in Pediatric Psychopharmacology and Adult ADHD, Massachusetts General Hospital, Boston, MA, United States; Spencer, T.J., Clinical and Research Programs in Pediatric Psychopharmacology and Adult ADHD, Massachusetts General Hospital, Boston, MA, United States, Department of Psychiatry, Harvard Medical School, Boston, MA, United States; Surman, C., Clinical and Research Programs in Pediatric Psychopharmacology and Adult ADHD, Massachusetts General Hospital, Boston, MA, United States, Department of Psychiatry, Harvard Medical School, Boston, MA, United States; Faraone, S.V., Department of Neuroscience and Physiology, SUNY Upstate Medical University, Syracuse, NY, United States",Article,Scopus,2-s2.0-85083954840
"Smith Z.R., Langberg J.M., Cusick C.N., Green C.D., Becker S.P.","14620983200;8259696600;57195979710;57201315318;35097077000;","Academic Motivation Deficits in Adolescents with ADHD and Associations with Academic Functioning",2020,"Journal of Abnormal Child Psychology",13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075378923&doi=10.1007%2fs10802-019-00601-x&partnerID=40&md5=78435a5ca1242c9088becf832b0a63c1","Department of Psychology, Virginia Commonwealth University, Richmond, VA, United States; Division of Behavioral Medicine and Clinical Psychology, Cincinnati Children’s Hospital Medical Center, Cincinnati, OH, United States; Department of Pediatrics, University of Cincinnati College of Medicine, Cincinnati, OH, United States","Smith, Z.R., Department of Psychology, Virginia Commonwealth University, Richmond, VA, United States; Langberg, J.M., Department of Psychology, Virginia Commonwealth University, Richmond, VA, United States; Cusick, C.N., Department of Psychology, Virginia Commonwealth University, Richmond, VA, United States; Green, C.D., Department of Psychology, Virginia Commonwealth University, Richmond, VA, United States; Becker, S.P., Division of Behavioral Medicine and Clinical Psychology, Cincinnati Children’s Hospital Medical Center, Cincinnati, OH, United States, Department of Pediatrics, University of Cincinnati College of Medicine, Cincinnati, OH, United States",Article,Scopus,2-s2.0-85075378923
"Becker S.P., Kapadia D.K., Fershtman C.E.M., Sciberras E.","35097077000;57202945507;57211622646;24069519500;","Evening circadian preference is associated with sleep problems and daytime sleepiness in adolescents with ADHD",2020,"Journal of Sleep Research",13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074653659&doi=10.1111%2fjsr.12936&partnerID=40&md5=99c53c5191424acf06845961452065b1","Department of Pediatrics, University of Cincinnati College of Medicine, Cincinnati, OH, United States; Division of Behavioral Medicine and Clinical Psychology, Center for ADHD, Cincinnati Children’s Hospital Medical Center, Cincinnati, OH, United States; Department of Psychology, Smith College, Northampton, MA, United States; Department of Psychology, Miami University, Oxford, OH, United States; Deakin University, Geelong, VIC, Australia; Murdoch Children’s Research Institute, Melbourne, VIC, Australia; University of Melbourne, Melbourne, VIC, Australia","Becker, S.P., Department of Pediatrics, University of Cincinnati College of Medicine, Cincinnati, OH, United States, Division of Behavioral Medicine and Clinical Psychology, Center for ADHD, Cincinnati Children’s Hospital Medical Center, Cincinnati, OH, United States; Kapadia, D.K., Department of Psychology, Smith College, Northampton, MA, United States; Fershtman, C.E.M., Department of Psychology, Miami University, Oxford, OH, United States; Sciberras, E., Deakin University, Geelong, VIC, Australia, Murdoch Children’s Research Institute, Melbourne, VIC, Australia, University of Melbourne, Melbourne, VIC, Australia",Article,Scopus,2-s2.0-85074653659
"Torske T., Nærland T., Bettella F., Bjella T., Malt E., Høyland A.L., Stenberg N., Øie M.G., Andreassen O.A.","57194383398;36497292300;55033572300;36008117900;6602000596;6505948245;56034610400;7004227230;56600076200;","Autism spectrum disorder polygenic scores are associated with every day executive function in children admitted for clinical assessment",2020,"Autism Research",13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073918949&doi=10.1002%2faur.2207&partnerID=40&md5=d7c7ddaec5a92f598af08dec6432dca2","Division of Mental Health and Addiction, Vestre Viken Hospital Trust, Drammen, Norway; Department of Psychology, University of Oslo, Oslo, Norway; NevSom, Department of Rare Disorders, Oslo University Hospital, Oslo, Norway; NORMENT Centre, University of Oslo, Oslo, Norway; Division of Mental Health and Addiction, Oslo University Hospital, Oslo, Norway; Institute of Clinical Medicine, Ahus Campus, University of Oslo, Oslo, Norway; Department of Adult Habilitation, Akershus University Hospital, Lørenskog, Norway; Regional Centre for Child and Youth Mental Health and Child Welfare, Department of Mental Health, Faculty of Medicine and Health Sciences, Norwegian University of Science and Technology, Trondheim, Norway; Department of Pediatrics, St. Olav Hospital, Trondheim University Hospital, Trondheim, Norway; Research Department, Innlandet Hospital Trust, Lillehammer, Norway","Torske, T., Division of Mental Health and Addiction, Vestre Viken Hospital Trust, Drammen, Norway, Department of Psychology, University of Oslo, Oslo, Norway; Nærland, T., NevSom, Department of Rare Disorders, Oslo University Hospital, Oslo, Norway, NORMENT Centre, University of Oslo, Oslo, Norway; Bettella, F., NORMENT Centre, University of Oslo, Oslo, Norway, Division of Mental Health and Addiction, Oslo University Hospital, Oslo, Norway; Bjella, T., NORMENT Centre, University of Oslo, Oslo, Norway, Division of Mental Health and Addiction, Oslo University Hospital, Oslo, Norway; Malt, E., Institute of Clinical Medicine, Ahus Campus, University of Oslo, Oslo, Norway, Department of Adult Habilitation, Akershus University Hospital, Lørenskog, Norway; Høyland, A.L., Regional Centre for Child and Youth Mental Health and Child Welfare, Department of Mental Health, Faculty of Medicine and Health Sciences, Norwegian University of Science and Technology, Trondheim, Norway, Department of Pediatrics, St. Olav Hospital, Trondheim University Hospital, Trondheim, Norway; Stenberg, N., Division of Mental Health and Addiction, Oslo University Hospital, Oslo, Norway; Øie, M.G., Department of Psychology, University of Oslo, Oslo, Norway, Research Department, Innlandet Hospital Trust, Lillehammer, Norway; Andreassen, O.A., NORMENT Centre, University of Oslo, Oslo, Norway, Division of Mental Health and Addiction, Oslo University Hospital, Oslo, Norway",Article,Scopus,2-s2.0-85073918949
"Xie G., Deng Q., Cao J., Chang Q.","57214115154;57214124600;57214105922;57214120712;","Digital screen time and its effect on preschoolers' behavior in China: Results from a cross-sectional study",2020,"Italian Journal of Pediatrics",13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078250308&doi=10.1186%2fs13052-020-0776-x&partnerID=40&md5=d229bb4d1fd553863c7245946f26acd2","Pediatric Ward, No. 8 People's Hospital of Wuxi City, No. 1 Guangrui Road, Liangxi District, Wuxi, Jiangsu, 214000, China","Xie, G., Pediatric Ward, No. 8 People's Hospital of Wuxi City, No. 1 Guangrui Road, Liangxi District, Wuxi, Jiangsu, 214000, China; Deng, Q., Pediatric Ward, No. 8 People's Hospital of Wuxi City, No. 1 Guangrui Road, Liangxi District, Wuxi, Jiangsu, 214000, China; Cao, J., Pediatric Ward, No. 8 People's Hospital of Wuxi City, No. 1 Guangrui Road, Liangxi District, Wuxi, Jiangsu, 214000, China; Chang, Q., Pediatric Ward, No. 8 People's Hospital of Wuxi City, No. 1 Guangrui Road, Liangxi District, Wuxi, Jiangsu, 214000, China",Article,Scopus,2-s2.0-85078250308
"Serdarevic F., Tiemeier H., Jansen P.R., Alemany S., Xerxa Y., Neumann A., Robinson E., Hillegers M.H.J., Verhulst F.C., Ghassabian A.","8349792400;6603547661;57194519231;51763267200;57205484650;57192084242;57212235680;6603257693;55147513700;25635257600;","Polygenic Risk Scores for Developmental Disorders, Neuromotor Functioning During Infancy, and Autistic Traits in Childhood",2020,"Biological Psychiatry",13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073931939&doi=10.1016%2fj.biopsych.2019.06.006&partnerID=40&md5=3da0428d5448615d6417007c02cdaedb","Generation R Study Group, Erasmus Medical Center Rotterdam, Rotterdam, Netherlands; Department of Child and Adolescent Psychiatry, Erasmus Medical Center–Sophia Children's Hospital Rotterdam, Rotterdam, Netherlands; Department of Complex Trait Genetics, Center for Neuroscience and Cognitive Research, Amsterdam Neuroscience, Vrije Universiteit Amsterdam, Amsterdam, Netherlands; Department of Pediatrics, New York University School of Medicine, New York, NY, United States; Department of Population Health, New York University School of Medicine, New York, NY, United States; Department of Environmental Medicine, New York University School of Medicine, New York, NY, United States; Department of Social and Behavioral Sciences, Harvard T.H. Chan School of Public Health, Boston, MA, United States; Department of Epidemiology, Harvard T.H. Chan School of Public Health, Boston, MA, United States; Barcelona Institute for Global Health, Universitat Pompeu Fabra, CIBER Epidemiología y Salud Pública, Barcelona, Spain","Serdarevic, F., Generation R Study Group, Erasmus Medical Center Rotterdam, Rotterdam, Netherlands, Department of Child and Adolescent Psychiatry, Erasmus Medical Center–Sophia Children's Hospital Rotterdam, Rotterdam, Netherlands, Department of Pediatrics, New York University School of Medicine, New York, NY, United States; Tiemeier, H., Department of Child and Adolescent Psychiatry, Erasmus Medical Center–Sophia Children's Hospital Rotterdam, Rotterdam, Netherlands, Department of Social and Behavioral Sciences, Harvard T.H. Chan School of Public Health, Boston, MA, United States; Jansen, P.R., Generation R Study Group, Erasmus Medical Center Rotterdam, Rotterdam, Netherlands, Department of Child and Adolescent Psychiatry, Erasmus Medical Center–Sophia Children's Hospital Rotterdam, Rotterdam, Netherlands, Department of Complex Trait Genetics, Center for Neuroscience and Cognitive Research, Amsterdam Neuroscience, Vrije Universiteit Amsterdam, Amsterdam, Netherlands; Alemany, S., Barcelona Institute for Global Health, Universitat Pompeu Fabra, CIBER Epidemiología y Salud Pública, Barcelona, Spain; Xerxa, Y., Generation R Study Group, Erasmus Medical Center Rotterdam, Rotterdam, Netherlands, Department of Child and Adolescent Psychiatry, Erasmus Medical Center–Sophia Children's Hospital Rotterdam, Rotterdam, Netherlands; Neumann, A., Department of Child and Adolescent Psychiatry, Erasmus Medical Center–Sophia Children's Hospital Rotterdam, Rotterdam, Netherlands; Robinson, E., Department of Epidemiology, Harvard T.H. Chan School of Public Health, Boston, MA, United States; Hillegers, M.H.J., Generation R Study Group, Erasmus Medical Center Rotterdam, Rotterdam, Netherlands; Verhulst, F.C., Department of Child and Adolescent Psychiatry, Erasmus Medical Center–Sophia Children's Hospital Rotterdam, Rotterdam, Netherlands; Ghassabian, A., Department of Pediatrics, New York University School of Medicine, New York, NY, United States, Department of Population Health, New York University School of Medicine, New York, NY, United States, Department of Environmental Medicine, New York University School of Medicine, New York, NY, United States",Article,Scopus,2-s2.0-85073931939
"Holmes J., Guy J., Kievit R.A., Bryant A., Mareva S., Gathercole S.E.","10642331000;55112568600;57210699786;57205373722;57190676299;7003370060;","Cognitive dimensions of learning in children with problems in attention, learning, and memory.",2020,"Journal of Educational Psychology",13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096989300&doi=10.1037%2fedu0000644&partnerID=40&md5=3b1a2953fb895fa445fb36ac70a8c459","MRC Cognition and Brain Sciences Unit, University of Cambridge, Cambridge, United Kingdom; MRC Cognition and Brain Sciences Unit, University of Cambridge, Cambridge, United Kingdom; MRC Cognition and Brain Sciences Unit, University of Cambridge, Cambridge, United Kingdom; Department of Clinical Psychology, Faculty of Medicine and Health Sciences, University of East Anglia, Norfolk, United Kingdom; MRC Cognition and Brain Sciences Unit, University of Cambridge, Cambridge, United Kingdom; MRC Cognition and Brain Sciences Unit, University of Cambridge, Cambridge, United Kingdom","Holmes, J., MRC Cognition and Brain Sciences Unit, University of Cambridge, Cambridge, United Kingdom; Guy, J., MRC Cognition and Brain Sciences Unit, University of Cambridge, Cambridge, United Kingdom; Kievit, R.A., MRC Cognition and Brain Sciences Unit, University of Cambridge, Cambridge, United Kingdom; Bryant, A., Department of Clinical Psychology, Faculty of Medicine and Health Sciences, University of East Anglia, Norfolk, United Kingdom; Mareva, S., MRC Cognition and Brain Sciences Unit, University of Cambridge, Cambridge, United Kingdom; Gathercole, S.E., MRC Cognition and Brain Sciences Unit, University of Cambridge, Cambridge, United Kingdom",Article,Scopus,2-s2.0-85096989300
"Berrezueta-Guzman J., Pau I., Martin-Ruiz M.-L., Maximo-Bocanegra N.","57189382515;24833218800;55568956000;55662089700;","Smart-Home Environment to Support Homework Activities for Children",2020,"IEEE Access",13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091293632&doi=10.1109%2fACCESS.2020.3020734&partnerID=40&md5=f0467e574c6117f55141753d8acc5269","Departamento de Ingenieria Telematica y Electronica, Universidad Politecnica de Madrid, Madrid, Spain; Department of Physiotherapy, Occupational Therapy Rehabilitation, and Physical Medicine, Faculty of Health Sciences, Rey Juan Carlos University, Madrid, Spain","Berrezueta-Guzman, J., Departamento de Ingenieria Telematica y Electronica, Universidad Politecnica de Madrid, Madrid, Spain; Pau, I., Department of Physiotherapy, Occupational Therapy Rehabilitation, and Physical Medicine, Faculty of Health Sciences, Rey Juan Carlos University, Madrid, Spain; Martin-Ruiz, M.-L., Departamento de Ingenieria Telematica y Electronica, Universidad Politecnica de Madrid, Madrid, Spain; Maximo-Bocanegra, N., Department of Physiotherapy, Occupational Therapy Rehabilitation, and Physical Medicine, Faculty of Health Sciences, Rey Juan Carlos University, Madrid, Spain",Article,Scopus,2-s2.0-85091293632
"Cordova M., Shada K., Demeter D.V., Doyle O., Miranda-Dominguez O., Perrone A., Schifsky E., Graham A., Fombonne E., Langhorst B., Nigg J., Fair D.A., Feczko E.","57200655555;57215931315;57015104200;57211232008;36955473300;57201396607;57215937752;55251990500;7004793820;57191279924;7004052711;14321750200;6507792937;","Heterogeneity of executive function revealed by a functional random forest approach across ADHD and ASD",2020,"NeuroImage: Clinical",13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082418590&doi=10.1016%2fj.nicl.2020.102245&partnerID=40&md5=91232e5aac3a790fd7afb26b738d6935","Department of Behavioral Neuroscience, Oregon Health and Science University, 3181 SW Sam Jackson Park Road, Portland, OR  97221, United States; Department of Psychiatry, Oregon Health and Science University, 3181 SW Sam Jackson Park Road, Portland, OR  97221, United States; Center for Spoken Language Understanding, Oregon Health and Science University, 3181 SW Sam Jackson Park Road, Portland, OR  97221, United States; Advanced Imaging Research Center, Oregon Health and Science University, 3181 SW Sam Jackson Park Road, Portland, OR  97221, United States; Department of Medical Informatics and Clinical Epidemiology, Oregon Health and Science University, 3181 SW Sam Jackson Park Road, Portland, OR  97221, United States; Division of Developmental/Behavioral Pediatrics and Psychology, Rainbow Babies & Children's Hospital, 11100 Euclid Ave., Cleveland, OH  44106, United States; Department of Psychology; U. Texas Austin, University of Texas at Austin, 108 E Dean Keeton St., AustinAustin, TXTX  78712, United States","Cordova, M., Department of Behavioral Neuroscience, Oregon Health and Science University, 3181 SW Sam Jackson Park Road, Portland, OR  97221, United States; Shada, K., Division of Developmental/Behavioral Pediatrics and Psychology, Rainbow Babies & Children's Hospital, 11100 Euclid Ave., Cleveland, OH  44106, United States; Demeter, D.V., Department of Psychology; U. Texas Austin, University of Texas at Austin, 108 E Dean Keeton St., AustinAustin, TXTX  78712, United States; Doyle, O., Department of Behavioral Neuroscience, Oregon Health and Science University, 3181 SW Sam Jackson Park Road, Portland, OR  97221, United States; Miranda-Dominguez, O., Department of Behavioral Neuroscience, Oregon Health and Science University, 3181 SW Sam Jackson Park Road, Portland, OR  97221, United States; Perrone, A., Department of Behavioral Neuroscience, Oregon Health and Science University, 3181 SW Sam Jackson Park Road, Portland, OR  97221, United States; Schifsky, E., Department of Behavioral Neuroscience, Oregon Health and Science University, 3181 SW Sam Jackson Park Road, Portland, OR  97221, United States; Graham, A., Department of Behavioral Neuroscience, Oregon Health and Science University, 3181 SW Sam Jackson Park Road, Portland, OR  97221, United States, Department of Psychiatry, Oregon Health and Science University, 3181 SW Sam Jackson Park Road, Portland, OR  97221, United States; Fombonne, E., Department of Psychiatry, Oregon Health and Science University, 3181 SW Sam Jackson Park Road, Portland, OR  97221, United States; Langhorst, B., Center for Spoken Language Understanding, Oregon Health and Science University, 3181 SW Sam Jackson Park Road, Portland, OR  97221, United States; Nigg, J., Department of Psychiatry, Oregon Health and Science University, 3181 SW Sam Jackson Park Road, Portland, OR  97221, United States; Fair, D.A., Department of Behavioral Neuroscience, Oregon Health and Science University, 3181 SW Sam Jackson Park Road, Portland, OR  97221, United States, Advanced Imaging Research Center, Oregon Health and Science University, 3181 SW Sam Jackson Park Road, Portland, OR  97221, United States; Feczko, E., Department of Behavioral Neuroscience, Oregon Health and Science University, 3181 SW Sam Jackson Park Road, Portland, OR  97221, United States, Department of Medical Informatics and Clinical Epidemiology, Oregon Health and Science University, 3181 SW Sam Jackson Park Road, Portland, OR  97221, United States",Article,Scopus,2-s2.0-85082418590
"Atherton O.E., Lawson K.M., Ferrer E., Robins R.W.","56088766100;55382523000;7101784591;7201586069;","The role of effortful control in the development of ADHD, ODD, and CD symptoms.",2020,"Journal of Personality and Social Psychology",13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063486104&doi=10.1037%2fpspp0000243&partnerID=40&md5=0329cc6a88d92a6a0f350ea6660f390b","Department of Psychology, University of California, Davis, Davis, CA, United States; Department of Psychology, University of California, Davis, Davis, CA, United States; Department of Psychology, University of California, Davis, Davis, CA, United States; Department of Psychology, University of California, Davis, Davis, CA, United States","Atherton, O.E., Department of Psychology, University of California, Davis, Davis, CA, United States; Lawson, K.M., Department of Psychology, University of California, Davis, Davis, CA, United States; Ferrer, E., Department of Psychology, University of California, Davis, Davis, CA, United States; Robins, R.W., Department of Psychology, University of California, Davis, Davis, CA, United States",Article,Scopus,2-s2.0-85063486104
"Johnston O.G., Burke J.D.","57193202311;7402916690;","Parental Problem Recognition and Help-Seeking for Disruptive Behavior Disorders",2020,"Journal of Behavioral Health Services and Research",13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059520776&doi=10.1007%2fs11414-018-09648-y&partnerID=40&md5=0ca9121e09b3de5211ec62cdc5c40bb6","Department of Psychological Sciences, University of Connecticut, 406 Babbidge Road U-1020, Storrs, CT  06269, United States","Johnston, O.G., Department of Psychological Sciences, University of Connecticut, 406 Babbidge Road U-1020, Storrs, CT  06269, United States; Burke, J.D., Department of Psychological Sciences, University of Connecticut, 406 Babbidge Road U-1020, Storrs, CT  06269, United States",Review,Scopus,2-s2.0-85059520776
"Thygesen M., Engemann K., Holst G.J., Hansen B., Geels C., Brandt J., Pedersen C.B., Dalsgaard S.","56533875500;56515149300;53463575600;7403019138;6506719265;57193488850;7202774222;57218540914;","The association between residential green space in childhood and development of attention deficit hyperactivity disorder: A population-based cohort study",2020,"Environmental Health Perspectives",12,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098629771&doi=10.1289%2fEHP6729&partnerID=40&md5=0f261fd4e6ad71eb7bd1072d683a9df2","National Centre for Register-based Research, Department of Economics and Business, School of Business and Social Sciences, Aarhus University, Aarhus, Denmark; The Lundbeck Foundation Initiative for Integrative Psychiatric Research, iPSYCH, Aarhus and Copenhagen, Aarhus University, Aarhus, Denmark; Centre for Integrated Register-based Research (CIRRAU), Aarhus University, Aarhus, Denmark; Department of Public Health, Section of Environment, Occupation and Health, Aarhus University, Aarhus, Denmark; Geological Survey of Denmark and Greenland (GEUS), Copenhagen, Denmark; Center for Biodiversity Dynamics in a Changing World (BIOCHANGE), Aarhus University, Aarhus, Denmark; Department of Environmental Science, Aarhus University, Roskilde, Denmark; Big Data Centre for Environment and Health (BERTHA), Aarhus University, Aarhus, Denmark","Thygesen, M., National Centre for Register-based Research, Department of Economics and Business, School of Business and Social Sciences, Aarhus University, Aarhus, Denmark, The Lundbeck Foundation Initiative for Integrative Psychiatric Research, iPSYCH, Aarhus and Copenhagen, Aarhus University, Aarhus, Denmark, Centre for Integrated Register-based Research (CIRRAU), Aarhus University, Aarhus, Denmark; Engemann, K., Centre for Integrated Register-based Research (CIRRAU), Aarhus University, Aarhus, Denmark, Center for Biodiversity Dynamics in a Changing World (BIOCHANGE), Aarhus University, Aarhus, Denmark, Big Data Centre for Environment and Health (BERTHA), Aarhus University, Aarhus, Denmark; Holst, G.J., National Centre for Register-based Research, Department of Economics and Business, School of Business and Social Sciences, Aarhus University, Aarhus, Denmark, Department of Public Health, Section of Environment, Occupation and Health, Aarhus University, Aarhus, Denmark, Big Data Centre for Environment and Health (BERTHA), Aarhus University, Aarhus, Denmark; Hansen, B., Geological Survey of Denmark and Greenland (GEUS), Copenhagen, Denmark; Geels, C., Department of Environmental Science, Aarhus University, Roskilde, Denmark; Brandt, J., Department of Environmental Science, Aarhus University, Roskilde, Denmark; Pedersen, C.B., National Centre for Register-based Research, Department of Economics and Business, School of Business and Social Sciences, Aarhus University, Aarhus, Denmark, The Lundbeck Foundation Initiative for Integrative Psychiatric Research, iPSYCH, Aarhus and Copenhagen, Aarhus University, Aarhus, Denmark, Centre for Integrated Register-based Research (CIRRAU), Aarhus University, Aarhus, Denmark, Big Data Centre for Environment and Health (BERTHA), Aarhus University, Aarhus, Denmark; Dalsgaard, S., National Centre for Register-based Research, Department of Economics and Business, School of Business and Social Sciences, Aarhus University, Aarhus, Denmark, The Lundbeck Foundation Initiative for Integrative Psychiatric Research, iPSYCH, Aarhus and Copenhagen, Aarhus University, Aarhus, Denmark, Centre for Integrated Register-based Research (CIRRAU), Aarhus University, Aarhus, Denmark",Article,Scopus,2-s2.0-85098629771
"Alvarez-Arellano L., Salazar-García M., Corona J.C.","56013575200;6506728773;8116623700;","Neuroprotective effects of Quercetin in pediatric neurological diseases",2020,"Molecules",12,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097037507&doi=10.3390%2fmolecules25235597&partnerID=40&md5=3223f3d1846cf3f1377fa8118e2fd3df","CONACYT-Hospital Infantil de México Federico Gómez, Mexico City, 06720, Mexico; Laboratorio de Investigación en Biología del Desarrollo y Teratogénesis Experimental, Hospital Infantil de México Federico Gómez, Mexico City, 06720, Mexico; Laboratory of Neurosciences, Hospital Infantil de México Federico Gómez, Mexico City, 06720, Mexico","Alvarez-Arellano, L., CONACYT-Hospital Infantil de México Federico Gómez, Mexico City, 06720, Mexico; Salazar-García, M., Laboratorio de Investigación en Biología del Desarrollo y Teratogénesis Experimental, Hospital Infantil de México Federico Gómez, Mexico City, 06720, Mexico; Corona, J.C., Laboratory of Neurosciences, Hospital Infantil de México Federico Gómez, Mexico City, 06720, Mexico",Review,Scopus,2-s2.0-85097037507
"Craig S.G., Bondi B.C., O’Donnell K.A., Pepler D.J., Weiss M.D.","55520207400;57211535855;57225361926;7003423867;8773657400;","ADHD and Exposure to Maltreatment in Children and Youth: a Systematic Review of the Past 10 Years",2020,"Current Psychiatry Reports",12,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095606161&doi=10.1007%2fs11920-020-01193-w&partnerID=40&md5=8bf953cbd853a2f19a3a9f80069552ec","LaMarsh Centre for Child and Youth Research, York University, Toronto, ON, Canada; Department of Psychology, Simon Fraser University, Burnaby, BC, Canada; Child Psychiatry, Cambridge Health Alliance, Cambridge, MA, United States","Craig, S.G., LaMarsh Centre for Child and Youth Research, York University, Toronto, ON, Canada; Bondi, B.C., LaMarsh Centre for Child and Youth Research, York University, Toronto, ON, Canada; O’Donnell, K.A., Department of Psychology, Simon Fraser University, Burnaby, BC, Canada; Pepler, D.J., LaMarsh Centre for Child and Youth Research, York University, Toronto, ON, Canada; Weiss, M.D., Child Psychiatry, Cambridge Health Alliance, Cambridge, MA, United States",Review,Scopus,2-s2.0-85095606161
"Conte G., Valente F., Fioriello F., Cardona F.","55531638600;57207033116;57203846053;7006859953;","Rage attacks in Tourette Syndrome and Chronic Tic Disorder: a systematic review",2020,"Neuroscience and Biobehavioral Reviews",12,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092207679&doi=10.1016%2fj.neubiorev.2020.09.019&partnerID=40&md5=3a75bcf3c7562103cc921230203c5be2","Department of Human Neurosciences, Institute of Child and Adolescent Neuropsychiatry, Sapienza University of Rome – Italy, Via dei Sabelli, 108, Rome, 00185, Italy","Conte, G., Department of Human Neurosciences, Institute of Child and Adolescent Neuropsychiatry, Sapienza University of Rome – Italy, Via dei Sabelli, 108, Rome, 00185, Italy; Valente, F., Department of Human Neurosciences, Institute of Child and Adolescent Neuropsychiatry, Sapienza University of Rome – Italy, Via dei Sabelli, 108, Rome, 00185, Italy; Fioriello, F., Department of Human Neurosciences, Institute of Child and Adolescent Neuropsychiatry, Sapienza University of Rome – Italy, Via dei Sabelli, 108, Rome, 00185, Italy; Cardona, F., Department of Human Neurosciences, Institute of Child and Adolescent Neuropsychiatry, Sapienza University of Rome – Italy, Via dei Sabelli, 108, Rome, 00185, Italy",Review,Scopus,2-s2.0-85092207679
